_id,slot,defense,max_defense,fire_res,thunder_res,dragon_res,water_res,ice_res,hunter_type,num_slots,name,rarity
1310882,Head,24,44,3,1,-1,-3,0,0,1,Glavenus Helm,3
1310883,Head,12,32,4,1,-1,-3,0,1,1,Glavenus Cap,3
1310884,Head,24,44,-2,-1,-2,2,2,0,0,Gore Helm,3
1310885,Head,12,32,-2,-1,-2,3,2,1,0,Gore Cap,3
1310886,Head,24,44,2,-3,0,0,-2,0,1,Regios Helm,3
1310887,Head,12,32,4,-3,0,0,-2,1,1,Regios Cap,3
1310888,Head,24,44,2,-3,-2,0,0,0,0,Tigrex Helm,3
1310889,Head,12,32,4,-3,-2,0,0,1,0,Tigrex Cap,3
1310890,Head,26,46,-1,3,2,-1,0,0,0,Kirin Horn,3
1310891,Head,13,33,-1,4,2,-1,0,1,0,Kirin Crest,3
1310892,Head,24,44,2,0,0,-4,-2,0,0,Brachydios Helm,3
1310893,Head,12,32,2,0,0,-3,-2,1,0,Brachydios Cap,3
1310894,Head,26,46,-2,0,-4,2,2,0,2,Arc Helm,3
1310895,Head,26,46,-2,0,-4,2,2,0,2,Storge Helm,3
1310896,Head,13,33,-2,0,-3,2,2,1,2,Arc Cap,3
1310897,Head,13,33,-2,0,-3,2,2,1,2,Storge Cap,3
1310898,Head,26,46,-1,-2,-3,2,3,0,0,Kushala Glare,3
1310899,Head,13,33,-1,-2,-3,2,5,1,0,Kushala Snarl,3
1310900,Head,26,46,-5,0,-3,1,2,0,0,Mizuha Cap,3
1310901,Head,13,33,-4,0,-3,1,2,1,0,Cham Hat,3
1310902,Head,26,46,4,1,-3,-4,-1,0,0,Kaiser Crown,3
1310903,Head,13,33,4,1,-3,-3,-1,1,0,Kaiser Mask,3
1310904,Head,26,46,-1,-1,-2,-1,-1,0,1,Skeletal Skull,3
1310905,Head,13,33,-1,-1,-1,-1,-1,1,1,Decayed Skull,3
1310906,Head,24,44,2,2,-5,2,2,0,0,Black Head,3
1310907,Head,12,32,2,2,-4,2,2,1,0,Black Face,3
1310908,Head,22,42,1,1,1,1,1,0,3,Black Belt Helm,3
1310909,Head,11,31,1,1,2,1,1,1,3,Black Belt Cap,3
1310910,Head,20,40,0,0,0,0,0,0,1,Guild Bard Lobos,3
1310911,Head,10,30,0,0,0,0,0,1,1,Guild Bard Hat,3
1310912,Head,20,40,0,0,0,0,0,0,1,Maiden's Hat,3
1310913,Head,10,30,0,0,0,0,0,1,1,French Maid Glasses,3
1310914,Head,20,40,0,0,0,0,0,0,1,Helper Hood,3
1310915,Head,10,30,0,0,0,0,0,1,1,Healer Glasses,3
1310916,Head,20,40,0,0,0,0,0,0,1,Dianthus Cap,3
1310917,Head,10,30,0,0,0,0,0,1,1,Campanile Cap,3
1310918,Head,10,30,-2,-2,0,-2,-2,2,0,Bath Towel,3
1310919,Head,22,42,1,1,1,1,1,0,3,Gourmew Toque,3
1310920,Head,11,31,1,1,1,1,1,1,3,Gourmew Cap,3
1310921,Head,24,40,0,0,0,0,0,0,1,Leather Helm S,4
1310922,Head,24,40,0,1,0,0,0,0,3,Chainmail Helm S,4
1310923,Head,26,42,0,0,0,1,0,0,1,Bherna Turban S,4
1310924,Head,13,29,0,0,0,2,0,1,1,Bherna Cap S,4
1310925,Head,26,42,1,0,0,0,0,0,1,Hunting Helm S,4
1310926,Head,13,29,2,0,0,0,0,1,1,Hunting Cap S,4
1310927,Head,26,42,-1,0,0,0,2,0,2,Mafumofu Hood S,4
1310928,Head,13,29,-1,0,0,0,4,1,2,Mafumofu Cap S,4
1310929,Head,26,42,0,1,0,0,0,0,1,Yukumo Sky Kasa,4
1310930,Head,13,29,0,2,0,0,0,1,1,Yukumo Land Kasa,4
1310932,Head,26,42,0,0,0,0,0,0,0,Hunter's Helm S,4
1310933,Head,13,29,0,0,0,0,0,1,0,Hunter's Cap S,4
1310934,Head,22,38,0,0,0,0,0,0,1,Hunter's Helm R,4
1310935,Head,11,27,0,0,0,0,0,1,1,Hunter's Cap R,4
1310936,Head,30,46,0,0,0,0,-1,0,1,Bone Helm S,4
1310937,Head,15,31,0,0,0,0,-1,1,1,Bone Cap S,4
1310942,Head,36,52,2,0,0,-2,0,0,1,Chaos Archbun,4
1310943,Head,18,34,4,0,0,-2,0,1,1,Chaos Archdiadem,4
1310944,Head,32,48,0,1,0,1,0,0,1,Melahoa Hat S,4
1310945,Head,16,32,0,1,0,1,0,1,1,Melahoa Bloom S,4
1310946,Head,28,44,0,1,0,1,0,0,1,Melahoa Hat U,4
1310947,Head,14,30,0,1,0,1,0,1,1,Melahoa Bloom U,4
1310948,Head,36,52,1,-2,0,2,0,0,1,Makluva Hood S,4
1310949,Head,18,34,1,-2,0,3,0,1,1,Makluva Gills S,4
1310950,Head,32,48,1,-2,0,2,0,0,1,Makluva Hood U,4
1310951,Head,16,32,1,-2,0,3,0,1,1,Makluva Gills U,4
1310952,Head,34,50,3,0,0,1,2,0,1,Bistro Toque S,4
1310953,Head,17,33,4,0,0,1,3,1,1,Bistro Cap S,4
1310954,Head,36,52,2,0,0,2,-2,0,1,Acorn Helm S,4
1310955,Head,18,34,3,0,0,3,-2,1,1,Acorn Cap S,4
1310956,Head,36,52,-3,0,0,1,2,0,0,Mosgharl Vizor S,4
1310957,Head,18,34,-3,0,0,2,3,1,0,Mosgharl Brim S,4
1310958,Head,34,50,-1,-1,0,3,0,0,2,Edel Vizor S,4
1310959,Head,17,33,-1,-1,0,4,0,1,2,Edel Bloom S,4
1310960,Head,32,48,-1,2,0,0,3,0,1,Moofah Head S,4
1310961,Head,16,32,-1,3,0,0,4,1,1,Moofah Wig S,4
1310962,Head,28,44,-2,0,1,2,-1,0,1,Slagtoth Hood,4
1310963,Head,14,30,-2,0,1,3,-1,1,1,Slagtoth Cowl,4
1310964,Head,15,31,-2,-2,0,2,-2,2,1,Larinoth Mask S,4
1310965,Head,15,31,-3,-2,0,-2,1,2,1,Gargwa Mask S,4
1310966,Head,15,31,2,2,2,2,0,2,1,False Felyne S,4
1310967,Head,20,36,1,1,1,2,1,0,0,Velociprey Head S,4
1310968,Head,10,26,1,1,1,3,1,1,0,Velociprey Mask S,4
1310969,Head,20,36,1,2,1,1,1,0,0,Genprey Head S,4
1310970,Head,10,26,1,3,1,1,1,1,0,Genprey Mask S,4
1310971,Head,20,36,2,1,1,1,1,0,0,Ioprey Head S,4
1310972,Head,10,26,3,1,1,1,1,1,0,Ioprey Mask S,4
1310973,Head,20,36,1,1,2,1,1,0,0,Remobra Headgear S,4
1310974,Head,10,26,1,1,3,1,1,1,0,Remobra Mask S,4
1310981,Head,19,35,0,0,0,0,0,2,1,Mosswine Mask S,4
1310982,Head,32,48,2,0,0,0,-2,0,0,Rhenoplos Helm S,4
1310983,Head,16,32,3,0,0,0,-2,1,0,Rhenoplos Cap S,4
1310984,Head,28,44,-2,0,0,0,0,0,0,Jaggi Helm S,4
1310985,Head,14,30,-2,0,0,0,0,1,0,Jaggi Cap S,4
1310990,Head,30,46,-2,0,0,0,0,0,1,Maccao Helm S,4
1310991,Head,15,31,-2,1,1,1,1,1,1,Maccao Cap S,4
1310992,Head,30,46,0,0,0,0,-2,0,1,Velociprey Helm S,4
1310993,Head,15,31,0,1,0,1,-2,1,1,Velociprey Cap S,4
1310994,Head,30,46,0,-1,0,0,2,0,0,Giaprey Helm S,4
1310995,Head,15,31,0,-1,0,0,3,1,0,Giaprey Cap S,4
1310996,Head,32,48,0,1,0,0,-2,0,2,Genprey Helm S,4
1310997,Head,16,32,1,2,0,0,-2,1,2,Genprey Cap S,4
1310998,Head,36,52,0,1,0,0,-2,0,1,EX Genprey Helm,4
1310999,Head,18,34,1,2,0,0,-2,1,1,EX Genprey Cap,4
1311000,Head,34,50,2,-1,0,-1,0,0,2,Ioprey Helm S,4
1311001,Head,17,33,3,-1,0,-1,0,1,2,Ioprey Cap S,4
1311002,Head,38,54,2,-1,0,-1,0,0,1,EX Ioprey Helm,4
1311003,Head,19,35,3,-1,0,-1,0,1,1,EX Ioprey Cap,4
1311004,Head,32,48,-2,1,2,1,1,0,3,Vespoid Helm S,4
1311005,Head,16,32,-2,2,3,2,2,1,3,Vespoid Cap S,4
1311006,Head,36,52,-2,1,2,1,1,0,1,EX Vespoid Helm,4
1311007,Head,18,34,-2,2,3,2,2,1,1,EX Vespoid Cap,4
1311008,Head,36,52,-1,-1,4,-1,-1,0,1,Hornetaur Helm S,4
1311009,Head,18,34,-1,-1,6,-1,-1,1,1,Hornetaur Cap S,4
1311010,Head,40,56,-1,-1,4,-1,-1,0,1,EX Hornetaur Helm,4
1311011,Head,20,36,-1,-1,6,-1,-1,1,1,EX Hornetaur Cap,4
1311012,Head,32,48,-1,-1,4,-1,-1,0,2,Hornetaur Helm R,4
1311013,Head,16,32,-1,-1,6,-1,-1,1,2,Hornetaur Cap R,4
1311014,Head,32,48,-2,0,2,0,0,0,2,Bnahabra Hat S,4
1311015,Head,16,32,-2,1,3,1,1,1,2,Bnahabra Headpiece S,4
1311016,Head,40,56,0,1,1,1,1,0,2,Konchu Helm S,4
1311017,Head,20,36,0,2,2,2,2,1,2,Konchu Cap S,4
1311018,Head,36,52,0,-2,0,2,1,0,1,Bulldrome Helm S,4
1311019,Head,18,34,0,-2,0,3,1,1,1,Bulldrome Cap S,4
1311020,Head,20,36,0,-2,0,4,0,2,0,Bulldrome Mask S,4
1311021,Head,38,54,-2,-2,0,0,0,0,2,Arzuros Helm S,4
1311022,Head,19,35,-2,-2,0,0,0,1,2,Arzuros Cap S,4
1311023,Head,42,58,2,0,0,0,-3,0,1,Cephalos Helm S,4
1311024,Head,21,37,2,0,0,0,-3,1,1,Cephalos Cap S,4
1311025,Head,46,62,2,0,0,0,-3,0,0,EX Cephalos Helm,4
1311026,Head,23,39,2,0,0,0,-3,1,0,EX Cephalos Cap,4
1311027,Head,44,60,3,0,0,-1,-3,0,0,Kut-Ku Helm S,4
1311028,Head,22,38,4,0,0,-1,-3,1,0,Kut-Ku Cap S,4
1311029,Head,44,60,-2,-1,1,2,0,0,0,Kecha Helm,4
1311030,Head,22,38,-2,-1,1,3,0,1,0,Kecha Cap,4
1311031,Head,40,56,-3,0,0,1,3,0,1,Lagombi Helm S,4
1311032,Head,20,36,-3,0,0,1,4,1,1,Lagombi Cap S,4
1311033,Head,46,62,-3,4,0,1,-1,0,0,Gypceros Helm S,4
1311034,Head,23,39,-3,5,0,1,-1,1,0,Gypceros Cap S,4
1311035,Head,42,58,-3,4,0,1,-1,0,0,Gypceros Helm R,4
1311036,Head,21,37,-3,5,0,1,-1,1,0,Gypceros Cap R,4
1311037,Head,46,62,2,-1,1,-3,0,0,0,Tetsucabra Helm S,4
1311038,Head,23,39,3,-1,1,-3,0,1,0,Tetsucabra Cap S,4
1311039,Head,48,64,-1,-3,1,3,0,0,0,Hermitaur Helm S,4
1311040,Head,24,40,-1,-3,1,4,0,1,0,Hermitaur Cap S,4
1311041,Head,52,68,-1,-3,1,3,0,0,1,EX Hermitaur Helm,4
1311042,Head,26,42,-1,-3,1,4,0,1,1,EX Hermitaur Cap,4
1311043,Head,44,60,-1,-3,1,3,0,0,0,Hermitaur Helm R,4
1311044,Head,22,38,-1,-3,1,4,0,1,0,Hermitaur Cap R,4
1311045,Head,46,62,2,0,1,-3,-1,0,0,Volvidon Helm S,4
1311046,Head,23,39,3,0,1,-3,-1,1,0,Volvidon Cap S,4
1311047,Head,46,62,-3,-1,0,4,0,0,1,Ludroth Helm S,4
1311048,Head,23,39,-3,-1,0,5,0,1,1,Ludroth Cap S,4
1311049,Head,42,58,-3,-1,0,4,0,0,0,Ludroth Helm R,4
1311050,Head,21,37,-3,-1,0,5,0,1,0,Ludroth Cap R,4
1311051,Head,44,60,0,0,0,0,0,0,0,Lecturer's Hood,4
1311052,Head,22,38,0,0,0,0,0,1,0,Lecturer's Cap,4
1311053,Head,40,56,-1,-1,0,0,-1,0,0,Alloy Helm S,5
1311054,Head,20,36,-1,-1,0,0,-1,1,0,Alloy Cap S,5
1311055,Head,36,52,-1,-1,0,0,-1,0,0,Alloy Helm R,5
1311056,Head,18,34,-1,-1,0,0,-1,1,0,Alloy Cap R,5
1311057,Head,44,60,1,-1,0,-1,0,0,1,Battle Helm S,5
1311058,Head,22,38,2,-1,0,-1,0,1,1,Battle Cap S,5
1311059,Head,48,64,-1,1,0,-1,0,0,1,Ingot Helm S,5
1311060,Head,24,40,-1,2,0,-1,0,1,1,Ingot Cap S,5
1311061,Head,44,60,-1,1,0,-1,0,0,0,Ingot Helm R,5
1311062,Head,22,38,-1,2,0,-1,0,1,0,Ingot Cap R,5
1311063,Head,46,62,0,2,0,-1,-1,0,1,High Metal Helm S,5
1311064,Head,23,39,0,3,0,-1,-1,1,0,High Metal Cap S,5
1311065,Head,42,58,0,2,0,-1,-1,0,0,High Metal Helm U,5
1311066,Head,21,37,0,3,0,-1,-1,1,0,High Metal Cap U,5
1311069,Head,48,64,-1,-1,-1,4,-1,0,1,Lobster Helm,5
1311070,Head,24,40,-1,-1,-1,5,-1,1,1,Lobster Cap,5
1311071,Head,50,66,2,2,3,-2,-2,0,1,Obituary Vertex S,5
1311072,Head,25,41,3,2,4,-2,-2,1,1,Obituary Clypeus S,5
1311073,Head,50,66,2,2,3,-2,-2,0,1,Butterfly Vertex S,5
1311074,Head,25,41,3,2,4,-2,-2,1,1,Butterfly Clypeus S,5
1311075,Head,48,64,2,1,0,1,-1,0,1,Death Stench Brain S,5
1311076,Head,24,40,3,1,0,1,-1,1,1,Death Stench Soul S,5
1311077,Head,44,60,2,1,0,1,-1,0,0,Death Stench Brain R,5
1311078,Head,22,38,3,1,0,1,-1,1,0,Death Stench Soul R,5
1311079,Head,46,62,0,-2,0,3,-1,0,2,Vaik Helm S,5
1311080,Head,23,39,0,-2,0,4,-1,1,2,Vaik Cap S,5
1311081,Head,48,64,-2,3,2,0,-2,0,0,Aelucanth Vertex S,5
1311082,Head,24,40,-2,3,3,0,-2,1,0,Aelucanth Clypeus S,5
1311083,Head,48,64,-2,3,2,0,-2,0,0,Rhopessa Vertex S,5
1311084,Head,24,40,-2,3,3,0,-2,1,0,Rhopessa Clypeus S,5
1311085,Head,44,60,2,0,-2,0,2,0,1,Patissier's Toque,5
1311086,Head,22,38,4,0,-2,0,2,1,1,Patissier's Cap,5
1311087,Head,48,64,3,-1,3,-1,-1,0,1,Skalda Vertex S,5
1311088,Head,24,40,4,-1,3,-1,-1,1,1,Skalda Clypeus S,5
1311089,Head,48,64,3,-1,3,-1,-1,0,1,Spio Vertex S,5
1311090,Head,24,40,4,-1,3,-1,-1,1,1,Spio Clypeus S,5
1311091,Head,44,60,-2,1,0,-2,1,0,0,Malfestio Helm S,5
1311092,Head,22,38,-1,1,0,-2,1,1,0,Malfestio Cap S,5
1311093,Head,46,62,-2,-4,0,3,4,0,1,Zamtrios Helm,5
1311094,Head,23,39,-2,-4,0,3,5,1,1,Zamtrios Cap,5
1311095,Head,50,66,-4,4,1,1,2,0,0,Khezu Helm S,5
1311096,Head,25,41,-4,5,1,1,2,1,0,Khezu Cap S,5
1311097,Head,46,62,-4,4,1,1,2,0,0,Khezu Helm R,5
1311098,Head,23,39,-4,5,1,1,2,1,0,Khezu Cap R,5
1311099,Head,50,66,3,-2,-3,0,0,0,1,Rathian Helm S,5
1311100,Head,25,41,4,-2,-3,0,0,1,1,Rathian Cap S,5
1311101,Head,54,70,3,-2,-3,0,0,0,1,EX Rathian Helm,5
1311102,Head,27,43,4,-2,-3,0,0,1,1,EX Rathian Cap,5
1311103,Head,46,62,3,-2,-3,0,0,0,1,Rathian Helm R,5
1311104,Head,23,39,4,-2,-3,0,0,1,1,Rathian Cap R,5
1311105,Head,50,66,2,-1,1,0,-3,0,0,Nibelsnarf Helm S,5
1311106,Head,25,41,3,-1,1,0,-3,1,1,Nibelsnarf Cap S,5
1311107,Head,52,68,-2,-4,1,4,2,0,0,Plesioth Helm,5
1311108,Head,26,42,-2,-4,1,5,2,1,0,Plesioth Cap,5
1311109,Head,50,66,-4,0,0,1,4,0,0,Blango Helm S,5
1311110,Head,25,41,-4,0,0,1,5,1,0,Blango Cap S,5
1311111,Head,54,70,-4,0,0,1,4,0,0,EX Blango Helm,5
1311112,Head,27,43,-4,0,0,1,5,1,0,EX Blango Cap,5
1311113,Head,56,72,4,0,1,-4,0,0,0,Lavasioth Helm,5
1311114,Head,28,44,5,0,1,-4,0,1,0,Lavasioth Cap,5
1311115,Head,60,76,4,0,1,-4,0,0,0,EX Lavasioth Helm,5
1311116,Head,30,46,5,0,1,-4,0,1,0,EX Lavasioth Cap,5
1311117,Head,48,64,1,-1,0,2,-1,0,1,Ceanataur Helm S,5
1311118,Head,24,40,2,-1,0,2,-1,1,1,Ceanataur Cap S,5
1311119,Head,52,68,1,-1,0,2,-1,0,1,EX Ceanataur Helm,5
1311120,Head,26,42,2,-1,0,2,-1,1,1,EX Ceanataur Cap,5
