Jaggi Mail (Palico),Body,9,-2,0,0,0,1
Kaiser Periwig (Palico),Head,36,4,-6,1,-2,-2
Kaiser Robe (Palico),Body,66,3,-4,0,-2,-2
Khezu Apron (Palico),Body,28,-3,0,0,1,0
Khezu Cap (Palico),Head,16,-4,1,1,2,1
Kirin Horn (Palico),Head,30,-1,-1,5,-1,3
Kirin Vest (Palico),Body,48,-1,-1,4,-1,2
Kittendant Hood (Palico),Head,18,-4,2,4,1,0
Kittendant Suit (Palico),Body,32,-4,2,4,1,0
Kushala Cista (Palico),Body,66,0,2,-3,4,-4
Kushala Glare (Palico),Head,36,-1,3,-4,5,-5
Kut-Ku Mask (Palico),Head,16,3,0,-1,-2,3
Kut-Ku Wear (Palico),Body,28,3,0,-1,-2,3
Lagia Mail (Palico),Body,41,-3,1,3,-1,-1
Lagia Tricorne (Palico),Head,23,-4,1,3,-1,-1
Lagombi Helm (Palico),Head,12,-2,2,-1,2,2
Lagombi Mail (Palico),Body,22,-2,2,-1,2,2
Larinoth Mask (Palico),Head,18,-1,-1,-1,-1,4
Larinoth Suit (Palico),Body,32,-1,-1,-1,-1,4
Ludroth Helm (Palico),Head,16,-3,2,-1,-1,1
Ludroth Mail (Palico),Body,28,-3,2,-1,-1,1
Maccao Helm (Palico),Head,7,2,-1,0,-1,2
Maccao Mail (Palico),Body,13,2,-1,0,-1,2
Mafumofu Hood (Palico),Head,6,-2,0,0,2,0
Mafumofu Vest (Palico),Body,10,-1,0,0,1,0
Maiden Hood (Palico),Head,22,3,0,0,0,0
Maiden Mail (Palico),Body,38,3,0,0,0,0
Malfestio Mail (Palico),Body,32,-1,-2,1,1,1
Malfestio Mask (Palico),Head,18,-1,-2,1,1,1
Marauder Armor (Palico),Body,32,0,1,-2,0,4
Marauder Helm (Palico),Head,18,0,1,-2,0,4
Mizutsune Kasa (Palico),Head,23,2,3,-3,-1,-1
Mizutsune Suit (Palico),Body,41,1,3,-3,0,-1
Moofy Head (Palico),Head,12,-4,0,2,2,0
Moofy Suit (Palico),Body,22,-2,0,1,1,0
Mosgharl Hat (Palico),Head,18,-4,1,0,2,0
Mosgharl Mail (Palico),Body,32,-3,1,0,1,0
Naja Sirwal (Palico),Body,36,2,-1,1,-3,2
Naja Turban (Palico),Head,20,2,-1,1,-3,2
Narga Helm (Palico),Head,20,-2,1,-4,1,1
Narga Mail (Palico),Body,36,-1,0,-2,1,1
Nibel Helm (Palico),Head,16,2,0,-2,-4,1
Nibel Mail (Palico),Body,28,1,0,-1,-3,1
Popo Head (Palico),Head,12,-4,1,1,1,1
Popo Wear (Palico),Body,22,-4,1,1,1,1
Pretty Robe (Palico),Body,38,0,0,3,0,0
Pretty Toque (Palico),Head,22,0,0,3,0,0
Rathalos Helm (Palico),Head,23,3,1,-1,1,-2
Rathalos Mail (Palico),Body,41,3,1,-1,1,-2
Rathian Helm (Palico),Head,20,3,1,-1,1,-2
Rathian Mail (Palico),Body,36,3,1,-1,1,-2
Rheno Helm (Palico),Head,6,2,-1,-1,-1,2
Rheno Mail (Palico),Body,10,1,-1,-1,-1,1
Scholarly Cap (Palico),Head,22,0,3,0,0,0
Scholarly Suit (Palico),Body,38,0,3,0,0,0
Seregios Helm (Palico),Head,30,2,0,-2,-1,0
Seregios Mail (Palico),Body,48,2,0,-2,-1,0
Stone Body (Palico),Body,28,4,1,1,-4,-3
Stone Head (Palico),Head,16,5,2,2,-5,-4
Strange Helm (Palico),Head,36,-2,-2,-2,-2,4
Strange Mail (Palico),Body,66,-2,-2,-2,-2,4
Tigrex Helm (Palico),Head,30,3,0,-3,1,-1
Tigrex Mail (Palico),Body,48,2,0,-2,0,0
Uragaan Helm (Palico),Head,23,2,-4,1,-1,-2
Uragaan Mail (Palico),Body,41,2,-4,1,-1,-2
Velociprey Helm (Palico),Head,7,0,0,0,-3,2
Velociprey Mail (Palico),Body,13,0,0,0,-2,1
Venombee Cap (Palico),Head,16,2,2,-3,-3,2
Venombee Wings (Palico),Body,28,2,2,-3,-3,2
Volvi Helm (Palico),Head,18,1,-3,0,-1,1
Volvi Mail (Palico),Body,32,1,-3,0,-1,1
Yukumo Dogi (Palico),Body,10,-1,0,2,0,0
Yukumo Kasa (Palico),Head,6,-1,0,2,0,0
Zinogre Helm (Palico),Head,30,0,-2,2,-4,1
Zinogre Mail (Palico),Body,48,0,-2,2,-3,1
